Timestamp,Heart Rate (BPM),SpO₂ (%),Airflow (0-1),Chest Movement (0-1),Breath Rate (RPM),Position
2024-01-15 23:00:58,62.5,97.3,1,1,14.4,supine
2024-01-15 23:01:00,61.3,97.6,0.924,1,14.1,supine
2024-01-15 23:01:02,60.3,97.6,1,1,14.8,supine
2024-01-15 23:01:04,63.2,97.3,1,1,14,supine
2024-01-15 23:01:06,61.9,96.9,0.99,1,13.9,supine
2024-01-15 23:01:08,62.5,97.5,1,1,13.8,supine
2024-01-15 23:01:10,62.5,97.6,0.973,0.949,13.5,supine
2024-01-15 23:01:12,61.9,97.3,0.973,1,13.6,supine
2024-01-15 23:01:14,58.1,97.7,0.976,1,14.2,supine
2024-01-15 23:01:16,62.1,97.5,1,0.99,13.8,supine
2024-01-15 23:01:18,62.1,97.6,1,0.959,13.5,supine
2024-01-15 23:01:20,61.7,97,0.947,0.967,14,supine
2024-01-15 23:01:22,64.2,97.5,0.992,0.957,14.5,supine
2024-01-15 23:01:24,60.8,97.5,1,1,14,supine
2024-01-15 23:01:26,63.4,97.2,0.997,0.972,13.5,supine
2024-01-15 23:01:28,61.2,97.7,1,1,14,supine
2024-01-15 23:01:30,62.1,97.5,0.973,0.967,13.5,supine
2024-01-15 23:01:32,60.9,97.5,0.984,0.983,13.9,supine
2024-01-15 23:01:34,61.4,96.9,1,1,13.5,supine
2024-01-15 23:01:36,62.4,97,0.989,0.96,14.2,supine
2024-01-15 23:01:38,62,97.2,1,1,14.8,supine
2024-01-15 23:01:40,59.9,97.6,1,1,14,supine
2024-01-15 23:01:42,61.5,97.5,0.997,0.979,13.4,supine
2024-01-15 23:01:44,61.8,97.3,0.976,1,13.6,supine
2024-01-15 23:01:46,64.8,97.8,0.985,0.944,14.1,supine
2024-01-15 23:01:48,62.4,97.7,1,1,13.8,supine
2024-01-15 23:01:50,59.1,97.2,1,0.972,14,supine
2024-01-15 23:01:52,62.1,97.7,1,1,14.4,supine
2024-01-15 23:01:54,61.7,97.2,0.983,1,13.5,supine
2024-01-15 23:01:56,61.9,97.7,1,1,15.1,supine
2024-01-15 23:01:58,63.7,97.9,0.965,1,15.9,supine
2024-01-15 23:02:00,63.2,97.2,1,1,15.3,supine
2024-01-15 23:02:02,64.1,97.2,0.976,1,15.2,supine
2024-01-15 23:02:04,62.9,97.7,1,1,13.9,supine
2024-01-15 23:02:06,60.5,97.6,1,1,14,supine
2024-01-15 23:02:08,62.1,97.6,1,0.946,14,supine
2024-01-15 23:02:10,59.7,96.9,1,0.982,13.9,supine
2024-01-15 23:02:12,60.4,97.4,0.988,0.999,14.2,supine
2024-01-15 23:02:14,60.6,97.6,1,1,13.9,supine
2024-01-15 23:02:16,60.8,97.4,0.942,1,14.1,supine
2024-01-15 23:02:18,63.2,97.8,1,0.97,14.5,supine
2024-01-15 23:02:20,62.3,97.6,0.995,0.978,13.6,supine
2024-01-15 23:02:22,59.6,97.5,1,1,14.3,supine
2024-01-15 23:02:24,62.4,97.3,0.999,0.969,15.2,supine
2024-01-15 23:02:26,60.1,97.7,1,0.978,13.6,supine
2024-01-15 23:02:28,62.8,97.6,1,1,14,supine
2024-01-15 23:02:30,62.4,97.3,1,0.976,14.8,supine
2024-01-15 23:02:32,61,97.6,0.99,0.995,13.6,supine
2024-01-15 23:02:34,62.4,97.3,1,1,14.7,supine
2024-01-15 23:02:36,64.8,98.1,1,0.976,14.1,supine
2024-01-15 23:02:38,60.2,97.3,0.975,0.976,13.2,supine
2024-01-15 23:02:40,60.5,97.3,0.997,1,13.9,supine
2024-01-15 23:02:42,63.7,97.3,0.978,1,14.2,supine
2024-01-15 23:02:44,63.4,98,1,0.964,14,supine
2024-01-15 23:02:46,63.2,97.8,1,0.981,14.2,supine
2024-01-15 23:02:48,61.6,97.3,0.939,0.99,14.3,supine
2024-01-15 23:02:50,60.7,97.7,0.963,1,14.6,supine
2024-01-15 23:02:52,61.9,97.3,1,0.948,14.8,supine
2024-01-15 23:02:54,62.4,97.4,0.964,1,14.6,supine
2024-01-15 23:02:56,62,97.3,1,0.985,14.3,supine
2024-01-15 23:02:58,61.6,97.2,1,1,14.3,supine
2024-01-15 23:03:00,62.9,97.1,1,1,13.7,supine
2024-01-15 23:03:02,60.4,97.3,0.979,0.988,13.4,supine
2024-01-15 23:03:04,61.7,97.7,0.982,0.976,14.6,supine
2024-01-15 23:03:06,62.7,97.2,0.959,1,14.6,supine
2024-01-15 23:03:08,60.7,97.5,1,0.99,13.1,supine
2024-01-15 23:03:10,61.3,97.1,0.996,0.999,14.3,supine
2024-01-15 23:03:12,62.3,97.2,1,1,13.8,supine
2024-01-15 23:03:14,62.3,97.1,1,1,14,supine
2024-01-15 23:03:16,60.7,97.4,1,1,13.6,supine
2024-01-15 23:03:18,62.1,98.1,1,0.988,13.5,supine
2024-01-15 23:03:20,62.5,97.7,0.974,1,14.1,supine
2024-01-15 23:03:22,63.6,98.5,0.996,0.972,14.7,supine
2024-01-15 23:03:24,59.9,97.3,1,1,14.5,supine
2024-01-15 23:03:26,62.8,97.4,0.989,0.922,14.4,supine
2024-01-15 23:03:28,62.8,97.8,0.997,0.996,14.4,supine
2024-01-15 23:03:30,62.9,97.2,1,1,14.2,supine
2024-01-15 23:03:32,63.4,97.6,1,1,13.4,supine
2024-01-15 23:03:34,61.5,97.4,0.968,1,15.3,supine
2024-01-15 23:03:36,60.8,97.7,1,1,13.5,supine
2024-01-15 23:03:38,61.3,97.3,0.991,1,13.7,supine
2024-01-15 23:03:40,65.5,97.6,0.966,0.998,14.3,supine
2024-01-15 23:03:42,63,96.9,1,1,13.4,supine
2024-01-15 23:03:44,61.3,97.4,0.977,0.994,13.4,supine
2024-01-15 23:03:46,62.1,97.4,0.996,1,14.4,supine
2024-01-15 23:03:48,60.9,97.1,1,1,14.2,supine
2024-01-15 23:03:50,60.9,97.9,1,1,14,supine
2024-01-15 23:03:52,62.1,97.7,0.986,1,14.3,supine
2024-01-15 23:03:54,65.2,97.8,1,1,14.6,supine
2024-01-15 23:03:56,59,97.5,0.99,1,13.6,supine
2024-01-15 23:03:58,61,97.2,0.978,1,14,supine
2024-01-15 23:04:00,60.8,97.8,1,0.951,15,supine
2024-01-15 23:04:02,62.8,98,0.983,1,13.8,supine
2024-01-15 23:04:04,60.2,97.3,0.963,0.978,13.8,supine
2024-01-15 23:04:06,61.3,97.8,1,1,13.7,supine
2024-01-15 23:04:08,64.6,97.7,0.999,0.97,14.1,supine
2024-01-15 23:04:10,60.1,97.6,1,1,14.5,supine
2024-01-15 23:04:12,65.2,97.1,1,0.937,13.5,supine
2024-01-15 23:04:14,59.7,97.8,1,1,14,supine
2024-01-15 23:04:16,63.9,97.6,1,1,14.2,supine
2024-01-15 23:04:18,62.7,97.3,1,1,13.8,supine
2024-01-15 23:04:20,60.6,97.2,0.964,0.986,14.8,supine
2024-01-15 23:04:22,57.1,97.6,1,1,14.3,supine
2024-01-15 23:04:24,61.6,97,0.956,1,13.9,supine
2024-01-15 23:04:26,64.4,97.1,0.977,0.933,13.6,supine
2024-01-15 23:04:28,61.3,97.8,1,1,13.7,supine
2024-01-15 23:04:30,64.2,97.6,0.994,0.955,14,supine
2024-01-15 23:04:32,63.7,98,1,0.986,14.6,supine
2024-01-15 23:04:34,60.5,97.2,0.97,0.943,14.1,supine
2024-01-15 23:04:36,62.3,97.6,1,1,13.8,supine
2024-01-15 23:04:38,62.1,97.5,1,0.998,13.2,supine
2024-01-15 23:04:40,62.2,97.6,1,1,14.3,supine
2024-01-15 23:04:42,64.4,97.3,0.96,0.975,14.7,supine
2024-01-15 23:04:44,65.2,97.5,1,0.978,14.9,supine
2024-01-15 23:04:46,61.8,97.4,0.992,0.959,14.5,supine
2024-01-15 23:04:48,62.4,97.1,0.985,1,14.2,supine
2024-01-15 23:04:50,61.7,97.5,0.992,0.955,13.2,supine
2024-01-15 23:04:52,61.1,97.3,0.961,1,14.3,supine
2024-01-15 23:04:54,62.5,97.2,1,1,14.4,supine
2024-01-15 23:04:56,63.3,97.2,1,1,14,supine
2024-01-15 23:04:58,63.2,97.3,1,0.991,13.1,supine
2024-01-15 23:05:00,60.8,97.3,1,1,13.2,supine
2024-01-15 23:05:02,63.1,97.5,0.975,0.993,14,supine
2024-01-15 23:05:04,62,97.8,0.988,1,13.9,supine
2024-01-15 23:05:06,63.9,97,1,1,13.2,supine
2024-01-15 23:05:08,62.8,98.1,1,1,14.4,supine
2024-01-15 23:05:10,61.7,97.1,0.983,1,12.9,supine
2024-01-15 23:05:12,63.2,97.3,1,0.987,14.2,supine
2024-01-15 23:05:14,64,97.2,1,0.968,15.1,supine
2024-01-15 23:05:16,63,98,0.967,0.982,14.2,supine
2024-01-15 23:05:18,62.5,97.8,1,0.997,13.5,supine
2024-01-15 23:05:20,62.1,97.1,1,1,13,supine
2024-01-15 23:05:22,60.8,97.5,1,0.972,13.9,supine
2024-01-15 23:05:24,60.5,97.6,0.979,0.979,14.5,supine
2024-01-15 23:05:26,63.7,97.5,0.989,0.983,14,supine
2024-01-15 23:05:28,62.9,97.7,1,1,13.2,supine
2024-01-15 23:05:30,62,97.9,1,0.996,13.5,supine
2024-01-15 23:05:32,62.1,97.7,0.962,0.987,13.8,supine
2024-01-15 23:05:34,63.5,97.1,0.973,0.975,14.4,supine
2024-01-15 23:05:36,60.8,97.2,1,0.989,14.2,supine
2024-01-15 23:05:38,62.6,97.3,0.975,1,14.5,supine
2024-01-15 23:05:40,60.8,98,1,1,13.2,supine
2024-01-15 23:05:42,62.4,97.8,1,1,14,supine
2024-01-15 23:05:44,61.3,96.9,1,1,14.5,supine
2024-01-15 23:05:46,59.8,97.5,1,1,13.9,supine
2024-01-15 23:05:48,60.9,97.7,0.986,0.978,13.6,supine
2024-01-15 23:05:50,62.5,97.6,1,1,12.9,supine
2024-01-15 23:05:52,63.3,97.5,0.991,0.964,13.6,supine
2024-01-15 23:05:54,62,96.9,0.971,1,13.1,supine
2024-01-15 23:05:56,62,97,0.961,1,14.8,supine
2024-01-15 23:05:58,62.5,97.6,1,1,14.4,supine
2024-01-15 23:06:00,62.8,97.5,0.985,0.996,13.8,supine
2024-01-15 23:06:02,61.8,97.3,0.991,0.966,13.8,supine
2024-01-15 23:06:04,63,98.2,0.985,1,14.5,supine
2024-01-15 23:06:06,62.3,97.2,0.989,1,14,supine
2024-01-15 23:06:08,62.1,97.5,1,0.99,13.8,supine
2024-01-15 23:06:10,62,97.2,1,1,14.8,supine
2024-01-15 23:06:12,64.2,97.8,1,0.933,14.2,supine
2024-01-15 23:06:14,65.2,98.1,1,1,13.7,supine
2024-01-15 23:06:16,63.3,97.7,0.942,0.99,13.9,supine
2024-01-15 23:06:18,65.3,97.6,1,1,13.8,supine
2024-01-15 23:06:20,60.7,97.7,1,1,14.6,supine
2024-01-15 23:06:22,58.8,97.4,1,0.984,14.2,supine
2024-01-15 23:06:24,60.9,97.6,0.966,1,12.6,supine
2024-01-15 23:06:26,62.5,98.2,0.958,1,13.9,supine
2024-01-15 23:06:28,63.4,97.4,1,1,14.1,supine
2024-01-15 23:06:30,60.7,97.7,1,1,14.7,supine
2024-01-15 23:06:32,60,97.5,0.953,0.976,13.8,supine
2024-01-15 23:06:34,63.8,97,0.971,1,14,supine
2024-01-15 23:06:36,59.4,97.5,1,1,13.9,supine
2024-01-15 23:06:38,61.8,97.3,0.969,1,14,supine
2024-01-15 23:06:40,59.6,97.2,1,0.992,14,supine
2024-01-15 23:06:42,62,97.3,1,0.98,14.6,supine
2024-01-15 23:06:44,61.3,97.4,0.976,0.994,14.6,supine
2024-01-15 23:06:46,60.4,97.3,1,1,14,supine
2024-01-15 23:06:48,62.2,97.9,1,1,13.9,supine
2024-01-15 23:06:50,63.1,97.9,0.99,0.964,14.3,supine
2024-01-15 23:06:52,59.7,96.8,0.974,0.939,14.7,supine
2024-01-15 23:06:54,62.5,97.3,0.975,1,14.3,supine
2024-01-15 23:06:56,64.3,97.3,0.998,1,14.3,supine
2024-01-15 23:06:58,63.8,97.1,0.978,0.985,14.6,supine
2024-01-15 23:07:00,65.1,97.8,0.964,1,14.3,supine
2024-01-15 23:07:02,61.6,97.1,1,0.961,12.8,supine
2024-01-15 23:07:04,63,97.7,1,1,14,supine
2024-01-15 23:07:06,60.6,97.9,0.967,1,14.5,supine
2024-01-15 23:07:08,63.6,97.2,0.981,0.963,14.5,supine
2024-01-15 23:07:10,60.2,97.3,1,0.997,14.1,supine
2024-01-15 23:07:12,61.6,97.5,0.977,1,14,supine
2024-01-15 23:07:14,64.3,97.4,0.938,1,13.9,supine
2024-01-15 23:07:16,64.4,97.7,0.98,1,15.1,supine
2024-01-15 23:07:18,59.4,97.8,0.993,0.952,14.1,supine
2024-01-15 23:07:20,62.6,97.6,1,0.977,13.8,supine
2024-01-15 23:07:22,58.9,97.3,1,0.974,14.2,supine
2024-01-15 23:07:24,60,97.3,1,1,13.3,supine
2024-01-15 23:07:26,62.5,97.3,1,0.983,14.3,supine
2024-01-15 23:07:28,61.2,97.6,0.99,0.992,13.6,supine
2024-01-15 23:07:30,61.9,97.6,0.997,0.991,13.9,supine
2024-01-15 23:07:32,60.5,97.5,1,1,13.9,supine
2024-01-15 23:07:34,61.2,97.7,1,1,14.2,supine
2024-01-15 23:07:36,61.8,98,0.983,1,14,supine
2024-01-15 23:07:38,61.2,97.5,1,0.999,13.9,supine
2024-01-15 23:07:40,64.9,97.4,0.981,1,14.9,supine
2024-01-15 23:07:42,61,97.8,1,0.991,14.6,supine
2024-01-15 23:07:44,61.8,98,0.996,1,13.7,supine
2024-01-15 23:07:46,62.9,98.4,1,1,14.7,supine
2024-01-15 23:07:48,61.2,97.6,0.991,0.969,14.5,supine
2024-01-15 23:07:50,61.6,97.3,0.988,1,13.5,supine
2024-01-15 23:07:52,59.7,97.2,0.999,0.995,13.4,supine
2024-01-15 23:07:54,64.5,97.7,0.984,0.99,14.4,supine
2024-01-15 23:07:56,62.9,97.1,1,0.995,13.2,supine
2024-01-15 23:07:58,66.6,97.5,1,1,13.7,supine
2024-01-15 23:08:00,61.8,97.3,0.953,0.999,15.3,supine
2024-01-15 23:08:02,59.6,98,0.977,1,14.1,supine
2024-01-15 23:08:04,60.9,97.1,0.993,0.981,15.1,supine
2024-01-15 23:08:06,61,97.3,0.963,0.963,14.6,supine
2024-01-15 23:08:08,64.5,97.4,0.986,0.999,13.3,supine
2024-01-15 23:08:10,62,97.4,0.969,1,13.5,supine
2024-01-15 23:08:12,62.1,97.9,0.95,1,13.7,supine
2024-01-15 23:08:14,64.3,97.5,0.97,1,14.3,supine
2024-01-15 23:08:16,60.4,97,0.971,1,13.6,supine
2024-01-15 23:08:18,60.7,97.6,0.977,0.93,14.6,supine
2024-01-15 23:08:20,63.4,97.6,0.97,1,13.2,supine
2024-01-15 23:08:22,59.9,97.2,1,0.947,14.4,supine
2024-01-15 23:08:24,61,98.2,1,0.989,14.5,supine
2024-01-15 23:08:26,61.1,98,1,0.975,14.5,supine
2024-01-15 23:08:28,62.1,97.6,1,1,13.1,supine
2024-01-15 23:08:30,62.4,97.8,1,0.975,14,supine
2024-01-15 23:08:32,61.6,97.7,1,1,14.6,supine
2024-01-15 23:08:34,61.1,97.6,0.993,1,15.3,supine
2024-01-15 23:08:36,62.8,97.6,1,0.941,15.1,supine
2024-01-15 23:08:38,62.1,97.1,1,0.97,14.5,supine
2024-01-15 23:08:40,59.5,97.6,1,1,14.5,supine
2024-01-15 23:08:42,61,98,1,0.998,14.8,supine
2024-01-15 23:08:44,60.9,97.4,0.984,1,13.4,supine
2024-01-15 23:08:46,59.6,97.3,0.995,0.992,14.3,supine
2024-01-15 23:08:48,62.4,97.5,1,1,13.5,supine
2024-01-15 23:08:50,63,97.7,0.988,0.956,14.2,supine
2024-01-15 23:08:52,61.9,98,1,0.999,15,supine
2024-01-15 23:08:54,61,97.4,0.997,1,13.5,supine
2024-01-15 23:08:56,60.7,97.8,0.987,0.98,13.2,supine
2024-01-15 23:08:58,63.5,97.4,0.977,0.937,13.5,supine
2024-01-15 23:09:00,63.3,97.5,0.998,1,14.3,supine
2024-01-15 23:09:02,62.8,97.3,1,0.982,13.8,supine
2024-01-15 23:09:04,58.3,97.3,0.975,0.965,13.5,supine
2024-01-15 23:09:06,62.9,97.7,0.992,1,15,supine
2024-01-15 23:09:08,62.6,97,1,1,13.8,supine
2024-01-15 23:09:10,62.1,97.3,1,1,14.3,supine
2024-01-15 23:09:12,63.8,97.9,0.97,0.996,14.9,supine
2024-01-15 23:09:14,62.5,98,0.997,0.982,13.1,supine
2024-01-15 23:09:16,61.3,97.4,1,1,13.5,supine
2024-01-15 23:09:18,62.6,97.8,0.95,0.98,14,supine
2024-01-15 23:09:20,62.4,97.8,1,0.979,13.4,supine
2024-01-15 23:09:22,63.3,97.3,0.992,0.987,13.5,supine
2024-01-15 23:09:24,63.8,97.7,1,0.99,14.3,supine
2024-01-15 23:09:26,58.9,98,1,0.954,14.2,supine
2024-01-15 23:09:28,59.2,97.5,0.988,0.996,13.6,supine
2024-01-15 23:09:30,62,97.5,1,0.992,13.9,supine
2024-01-15 23:09:32,62.5,97.4,0.986,0.985,14.2,supine
2024-01-15 23:09:34,63.2,97.7,0.978,1,14.8,supine
2024-01-15 23:09:36,62.4,97.8,0.999,1,13.5,supine
2024-01-15 23:09:38,59.8,97.8,0.967,1,13.7,supine
2024-01-15 23:09:40,62.5,97.5,1,1,14.4,supine
2024-01-15 23:09:42,62.9,97.4,0.967,1,14.1,supine
2024-01-15 23:09:44,62.3,97.6,1,1,14.1,supine
2024-01-15 23:09:46,61.3,97.1,0.996,1,13.8,supine
2024-01-15 23:09:48,63.2,97.8,0.989,0.996,14.1,supine
2024-01-15 23:09:50,62.1,97.5,1,1,13.5,supine
2024-01-15 23:09:52,62.7,97.7,0.939,1,14,supine
2024-01-15 23:09:54,63.6,97.8,0.961,0.978,13.1,supine
2024-01-15 23:09:56,61.6,97.5,1,1,13.8,supine
2024-01-15 23:09:58,61.3,97.2,0.99,0.997,14.3,supine
2024-01-15 23:10:00,63.1,97.9,1,1,14.2,supine
2024-01-15 23:10:02,63.3,97.4,1,0.953,13.5,supine
2024-01-15 23:10:04,62.6,97.3,0.985,1,14.7,supine
2024-01-15 23:10:06,60.8,97.3,0.93,1,13.5,supine
2024-01-15 23:10:08,59.3,97.5,0.979,1,14.7,supine
2024-01-15 23:10:10,63,97.1,1,0.981,13.5,supine
2024-01-15 23:10:12,62.4,98,1,1,13.1,supine
2024-01-15 23:10:14,65.7,97.2,1,1,13.8,supine
2024-01-15 23:10:16,62.2,97.5,1,0.958,13.4,supine
2024-01-15 23:10:18,62.7,97.6,0.965,1,13.6,supine
2024-01-15 23:10:20,60.8,97.6,1,0.992,14.6,supine
2024-01-15 23:10:22,64.8,97.6,1,0.983,13.6,supine
2024-01-15 23:10:24,64.4,97.3,0.986,1,14.2,supine
2024-01-15 23:10:26,60.5,97.3,0.965,1,13.8,supine
2024-01-15 23:10:28,62.1,97.1,0.998,0.998,13.9,supine
2024-01-15 23:10:30,59.5,97,1,0.992,13.7,supine
2024-01-15 23:10:32,61.8,97.2,0.942,1,14.2,supine
2024-01-15 23:10:34,60.5,97,0.979,1,14.2,supine
2024-01-15 23:10:36,63.2,97.8,1,1,14.2,supine
2024-01-15 23:10:38,60.1,97.6,1,1,14.5,supine
2024-01-15 23:10:40,61.5,97.8,0.996,0.999,13.7,supine
2024-01-15 23:10:42,61.6,97.1,0.975,0.986,14,supine
2024-01-15 23:10:44,61.6,97.3,1,1,14.8,supine
2024-01-15 23:10:46,58,97.7,0.988,0.999,14.1,supine
2024-01-15 23:10:48,61.7,97.7,0.965,0.973,14.1,supine
2024-01-15 23:10:50,64.8,97.7,1,0.992,13.5,supine
2024-01-15 23:10:52,61.6,97.7,1,1,13.7,supine
2024-01-15 23:10:54,65.9,97.7,0.967,0.999,13.8,supine
2024-01-15 23:10:56,62,97.6,0.99,0.978,13.7,supine
2024-01-15 23:10:58,62.3,97.2,0.995,0.966,13.7,supine
2024-01-15 23:11:00,61.1,97.6,1,0.963,13.5,supine
2024-01-15 23:11:02,62,96.9,0.989,0.992,13.9,supine
2024-01-15 23:11:04,60.9,97.4,1,1,14.8,supine
2024-01-15 23:11:06,61.6,97.3,0.988,0.975,13.5,supine
2024-01-15 23:11:08,58,97.7,0.985,1,14.4,supine
2024-01-15 23:11:10,63.9,97.5,1,0.969,13.7,supine
2024-01-15 23:11:12,61.5,97.6,1,1,13.8,supine
2024-01-15 23:11:14,59.9,97.4,0.964,1,14.6,supine
2024-01-15 23:11:16,60.3,97.6,0.993,0.998,14.4,supine
2024-01-15 23:11:18,63.4,97.6,1,1,13.9,supine
2024-01-15 23:11:20,63.1,96.9,0.99,1,13.6,supine
2024-01-15 23:11:22,61.2,97.2,1,0.951,14.1,supine
2024-01-15 23:11:24,60.2,97.5,0.968,1,13.3,supine
2024-01-15 23:11:26,61.6,97.6,1,1,14.9,supine
2024-01-15 23:11:28,63.1,97.5,0.931,1,13.4,supine
2024-01-15 23:11:30,61.5,97.7,1,0.981,13.4,supine
2024-01-15 23:11:32,60.4,97.3,0.987,1,14.3,supine
2024-01-15 23:11:34,62.9,97.4,1,1,14.8,supine
2024-01-15 23:11:36,62.5,98.1,1,1,14.6,supine
2024-01-15 23:11:38,63.4,97.8,1,0.987,13.9,supine
2024-01-15 23:11:40,61.2,97.6,0.995,0.973,13.8,supine
2024-01-15 23:11:42,60.9,97.1,1,0.975,14.1,supine
2024-01-15 23:11:44,59.7,98,0.947,0.917,12.8,supine
2024-01-15 23:11:46,60.1,97.5,0.949,1,14.7,supine
2024-01-15 23:11:48,58.9,97.7,1,1,12.5,supine
2024-01-15 23:11:50,62.3,97.6,1,1,13.9,supine
2024-01-15 23:11:52,61.2,97.3,0.989,0.977,12.9,supine
2024-01-15 23:11:54,61.9,97.7,1,1,14.4,supine
2024-01-15 23:11:56,62.2,97.5,0.963,1,13.5,supine
2024-01-15 23:11:58,61.5,97.2,1,1,15.3,supine
2024-01-15 23:12:00,62.5,96.8,1,1,14.3,supine
2024-01-15 23:12:02,60,97.2,1,1,13.9,supine
2024-01-15 23:12:04,62.3,96.8,0.968,0.993,14.2,supine
2024-01-15 23:12:06,62,97.8,1,0.961,14.3,supine
2024-01-15 23:12:08,61.2,97.6,0.962,0.989,14.2,supine
2024-01-15 23:12:10,62.3,97,0.992,0.981,14,supine
2024-01-15 23:12:12,62.6,97.7,1,1,14.4,supine
2024-01-15 23:12:14,63.5,97.4,0.965,1,14.2,supine
2024-01-15 23:12:16,62.4,98.4,1,0.972,14,supine
2024-01-15 23:12:18,64.5,96.9,1,0.98,14.1,supine
2024-01-15 23:12:20,59.2,97.7,0.998,1,14,supine
2024-01-15 23:12:22,61.1,97.4,0.959,1,13.8,supine
2024-01-15 23:12:24,62.8,97.6,1,0.92,13.5,supine
2024-01-15 23:12:26,62.3,96.7,1,1,13.8,supine
2024-01-15 23:12:28,61.1,97.3,0.989,0.956,13.9,supine
2024-01-15 23:12:30,60.6,97.3,1,0.976,14,supine
2024-01-15 23:12:32,60.5,97.8,0.993,1,13.8,supine
2024-01-15 23:12:34,60.6,97.6,1,0.958,14.2,supine
2024-01-15 23:12:36,62.7,97.7,0.997,1,14.9,supine
2024-01-15 23:12:38,60.7,97.1,0.975,0.958,13.9,supine
2024-01-15 23:12:40,61.1,96.9,0.956,1,13.6,supine
2024-01-15 23:12:42,65.8,97.4,0.993,0.998,13.7,supine
2024-01-15 23:12:44,63.7,97.6,0.963,0.968,13.7,supine
2024-01-15 23:12:46,61.9,97.5,0.982,0.987,14.3,supine
2024-01-15 23:12:48,61.1,97.3,0.98,1,12.8,supine
2024-01-15 23:12:50,63.1,98.3,1,1,14.4,supine
2024-01-15 23:12:52,62.9,97.5,0.977,1,13.9,supine
2024-01-15 23:12:54,62.9,98,0.999,0.984,13.9,supine
2024-01-15 23:12:56,60.9,97.9,0.948,1,13.9,supine
2024-01-15 23:12:58,61.9,97.9,0.948,0.98,13.2,supine
2024-01-15 23:13:00,62.3,97.4,0.988,0.982,14,supine
2024-01-15 23:13:02,62.6,97.6,1,1,14.4,supine
2024-01-15 23:13:04,62.8,97.7,0.972,1,14.2,supine
2024-01-15 23:13:06,63.3,97.5,1,1,13.6,supine
2024-01-15 23:13:08,61.9,97.5,0.97,0.989,13.7,supine
2024-01-15 23:13:10,62.6,97.3,0.964,0.981,14,supine
2024-01-15 23:13:12,62.4,98,1,1,13.7,supine
2024-01-15 23:13:14,60.4,96.5,1,0.992,14.9,supine
2024-01-15 23:13:16,61.9,97.6,0.999,0.94,13.5,supine
2024-01-15 23:13:18,62,97.3,1,1,13.6,supine
2024-01-15 23:13:20,63.4,97.3,1,1,13.5,supine
2024-01-15 23:13:22,62.1,97.5,1,1,14.7,supine
2024-01-15 23:13:24,61.3,97.8,1,0.975,14.6,supine
2024-01-15 23:13:26,62.3,97,1,0.957,14.3,supine
2024-01-15 23:13:28,63.9,97.6,1,0.972,13.5,supine
2024-01-15 23:13:30,61.7,98.1,0.982,1,14.3,supine
2024-01-15 23:13:32,64.2,97.3,0.959,0.958,13.6,supine
2024-01-15 23:13:34,63.5,97.8,1,1,14,supine
2024-01-15 23:13:36,62.4,97.6,0.993,0.993,14.4,supine
2024-01-15 23:13:38,62.1,97.5,1,1,14.3,supine
2024-01-15 23:13:40,61.2,97.4,1,0.961,14,supine
2024-01-15 23:13:42,65.4,97.8,0.974,0.985,14.3,supine
2024-01-15 23:13:44,61.3,97.5,0.96,1,13.6,supine
2024-01-15 23:13:46,64.4,98,0.992,1,13.9,supine
2024-01-15 23:13:48,61.4,97.7,1,0.988,14,supine
