timestamp,heartRate,spo2,breathRate,breathDepth,temperature
2026-02-23 22:05:50,68.3,98.5,15.1,3.7,37.4
2026-02-23 22:06:00,67.8,99.6,19.5,2.1,36.5
2026-02-23 22:06:10,68.3,95.5,19.6,3.7,36.4
2026-02-23 22:06:20,67.5,95.1,15.1,4.1,37.1
2026-02-23 22:06:30,67.5,95.7,12.8,4.3,36.3
2026-02-23 22:06:40,67.5,95.8,18.5,3.4,36.4
2026-02-23 22:06:50,69.9,95,15.2,4.7,36.3
2026-02-23 22:07:00,70.1,97.5,13.6,4.7,36.4
2026-02-23 22:07:10,70.8,99,15,2.8,36.4
2026-02-23 22:07:20,70.5,99.4,15,3,37.5
2026-02-23 22:07:30,69.1,98.9,12.5,2.1,37.1
2026-02-23 22:07:40,69.9,99.9,18.9,2.4,37.3
2026-02-23 22:07:50,69.9,99.7,18.9,4.8,36.5
2026-02-23 22:08:00,67.2,99.7,17.8,3.9,37.1
2026-02-23 22:08:10,69.2,99.6,19.5,4.3,37
2026-02-23 22:08:20,66.9,98.7,16.7,3.4,37.1
2026-02-23 22:08:30,70,98.6,14.3,2.7,37.2
2026-02-23 22:08:40,67.5,99.6,16.5,4.6,36.7
2026-02-23 22:08:50,69.2,96.4,19.2,3.6,37.1
2026-02-23 22:09:00,69,96.9,15,2.7,36.1
2026-02-23 22:09:10,69.8,99.6,13.1,3.6,36.9
2026-02-23 22:09:20,68,97,12.4,3.8,36.5
2026-02-23 22:09:30,67.5,98.9,17.6,3.6,36.9
2026-02-23 22:09:40,67.5,98.8,14.5,3.6,36.9
2026-02-23 22:09:50,69.6,97.3,17.8,4.1,36.6
2026-02-23 22:10:00,66.4,96.5,15.9,3.4,36.7
2026-02-23 22:10:10,69.2,96.4,16,2.7,36.4
2026-02-23 22:10:20,68.2,99.9,14.1,3.1,36.2
2026-02-23 22:10:30,68,95.4,12.4,2.9,37.3
2026-02-23 22:10:40,66.5,96.3,19.5,4.3,37.2
2026-02-23 22:10:50,67.6,99.2,15.3,4.4,36.2
2026-02-23 22:11:00,66.9,98.4,15.4,4,36.2
2026-02-23 22:11:10,68,96.5,12.5,2.4,37.5
2026-02-23 22:11:20,69.7,96.9,15.9,2.6,37
2026-02-23 22:11:30,68.8,98.6,15.3,2.3,36.5
2026-02-23 22:11:40,67.2,96.1,19.5,4.6,36.3
2026-02-23 22:11:50,68.7,97.8,14.1,3.4,36.9
2026-02-23 22:12:00,67.6,98.5,19.7,2.8,36.6
2026-02-23 22:12:10,69.8,99.8,17.4,4.7,37.3
2026-02-23 22:12:20,67.8,95.2,15.9,4.7,36.3
2026-02-23 22:12:30,68.2,98.6,12.2,3.5,37.5
2026-02-23 22:12:40,68.3,99,18.2,3.7,37.1
2026-02-23 22:12:50,66.3,97.2,18.9,2.9,37.1
2026-02-23 22:13:00,66.5,95.9,18.8,3.5,36.2
2026-02-23 22:13:10,66.2,97.4,16.4,4.9,36.6
2026-02-23 22:13:20,67.6,96.9,15.2,3.9,36.6
2026-02-23 22:13:30,68.6,98.6,17.9,4.9,36.8
2026-02-23 22:13:40,68.1,96.4,17.5,3.9,36.2
2026-02-23 22:13:50,67.5,98.8,14.3,3.8,37
2026-02-23 22:14:00,69.1,99.6,15.3,4.5,36.7
2026-02-23 22:14:10,66.2,95.1,16.2,4.5,37.1
2026-02-23 22:14:20,65.6,98.1,13.8,4.3,36.2
2026-02-23 22:14:30,69.4,96.7,16.8,4.3,36.8
2026-02-23 22:14:40,67.7,95.2,19.7,2.5,36.7
2026-02-23 22:14:50,68.7,98.7,17.1,4.1,36.4
2026-02-23 22:15:00,67.5,97.6,17.9,4.1,36.6
2026-02-23 22:15:10,67.6,97.8,13.6,4.1,37.2
2026-02-23 22:15:20,68.9,96.6,18.7,4.1,36.3
2026-02-23 22:15:30,65.9,95.8,14.9,4.3,36.4
2026-02-23 22:15:40,68.1,98.1,17.5,3.8,37.5
2026-02-23 22:15:50,68.6,99.5,19.3,4.2,36.9
2026-02-23 22:16:00,65.4,95.3,18.6,3.4,36.5
2026-02-23 22:16:10,68.7,95.3,15.7,4.5,36
2026-02-23 22:16:20,67.9,95.3,18.7,4.1,37.2
2026-02-23 22:16:30,66.8,96.8,12.4,3.9,36.5
2026-02-23 22:16:40,65.6,98.8,13.5,4.3,37.1
2026-02-23 22:16:50,67.4,98.7,13.1,3.1,36.9
2026-02-23 22:17:00,66.2,95,19.1,2.6,36.7
2026-02-23 22:17:10,68,99.9,15.2,4.6,36.5
2026-02-23 22:17:20,66.1,95.4,14.3,3.3,36.4
2026-02-23 22:17:30,66.3,97.9,16.7,2.9,36.8
2026-02-23 22:17:40,68.9,99.7,18.1,4.3,36.4
2026-02-23 22:17:50,65.9,95.2,13.3,2.9,36.7
2026-02-23 22:18:00,68,98.4,13.6,4.1,36.5
2026-02-23 22:18:10,65.2,97,17.8,2.2,36.4
2026-02-23 22:18:20,67.2,95.8,14.1,4.5,36.6
2026-02-23 22:18:30,65.2,96,16.1,4.7,37.1
2026-02-23 22:18:40,66.1,97.5,13.4,2.8,36.4
2026-02-23 22:18:50,68.5,99.9,17.7,2.4,36.8
2026-02-23 22:19:00,66.6,98,12.8,2.7,36.4
2026-02-23 22:19:10,65.9,98,19.4,2.3,37.5
2026-02-23 22:19:20,68.1,99.9,15.4,4.7,36.4
2026-02-23 22:19:30,68,96.2,17.3,3.8,36.4
2026-02-23 22:19:40,65.4,96.3,19.8,2.6,36.7
2026-02-23 22:19:50,67.1,95.9,19.5,3.1,37
2026-02-23 22:20:00,67.6,98.2,17,4.4,36.3
2026-02-23 22:20:10,65.6,95.2,15.7,4.4,37.4
2026-02-23 22:20:20,66.9,96.3,18.9,4.8,36.4
2026-02-23 22:20:30,65.1,95.7,18.2,4,37.5
2026-02-23 22:20:40,67.7,95.3,17,3,36.1
2026-02-23 22:20:50,65.1,97.4,13.2,4.7,37.3
2026-02-23 22:21:00,68,99.1,19.2,4.8,37
2026-02-23 22:21:10,68.3,98.2,17.5,2.8,36.8
2026-02-23 22:21:20,66.4,98.5,17.7,2.8,37
2026-02-23 22:21:30,67,98.7,18.6,3.4,36.3
2026-02-23 22:21:40,68.1,96,18.2,3.6,37.2
2026-02-23 22:21:50,66.3,97.7,15.7,2.5,36
2026-02-23 22:22:00,64.5,98.1,15.8,2.3,37.4
2026-02-23 22:22:10,65.8,95.9,13.3,3.5,37.2
2026-02-23 22:22:20,64.9,95.6,17.8,3.2,37
2026-02-23 22:22:30,67,97.7,15.8,2.1,36.5
2026-02-23 22:22:40,66,96.9,15.9,4.9,36.3
2026-02-23 22:22:50,67.1,97.9,19.4,2.2,36.1
2026-02-23 22:23:00,65.1,99.4,17.8,4.5,36.6
2026-02-23 22:23:10,65.2,96,14.3,3.3,36.7
2026-02-23 22:23:20,68,98.5,13,4.1,37
2026-02-23 22:23:30,68,98.8,13.2,4,37
2026-02-23 22:23:40,67,97.8,19.5,2.7,36.8
2026-02-23 22:23:50,67.1,99.2,19.8,2.6,37.5
2026-02-23 22:24:00,66,95.2,15.4,4,37.3
2026-02-23 22:24:10,67.2,96.7,12.4,4.6,36.4
2026-02-23 22:24:20,66.4,95.6,18.7,2.3,37.1
2026-02-23 22:24:30,66.9,95.6,17.1,3.4,37.2
2026-02-23 22:24:40,64.9,99.7,20,4.3,36.3
2026-02-23 22:24:50,67.1,96.5,18.3,2.9,36.9
2026-02-23 22:25:00,63.9,95.6,19.6,3.4,36.3
2026-02-23 22:25:10,66.5,98.7,13.5,2.6,36.1
2026-02-23 22:25:20,65.1,100,18.5,2.5,36.6
2026-02-23 22:25:30,65.6,97.6,18.5,4.6,37.3
2026-02-23 22:25:40,66.1,96.1,18.6,4.4,36.7
2026-02-23 22:25:50,66.4,96.8,15.6,4.8,36.8
2026-02-23 22:26:00,67,98.8,19.2,2.1,36.4
2026-02-23 22:26:10,64.6,98.7,15.6,3.5,36.9
2026-02-23 22:26:20,63.7,96.5,19.5,4.6,37.1
2026-02-23 22:26:30,63.7,95,15.8,3.2,36.6
2026-02-23 22:26:40,65.5,96.8,15.5,2.1,36
2026-02-23 22:26:50,66.2,96,18.1,3.3,36.9
2026-02-23 22:27:00,67.2,97.1,14.3,4.2,36.7
2026-02-23 22:27:10,65.3,95.7,17.2,3.6,36.3
2026-02-23 22:27:20,64.7,97.2,14.8,3.5,36.7
2026-02-23 22:27:30,65.6,99.4,13.6,3.1,36.2
2026-02-23 22:27:40,67.3,95.1,14.1,2.1,36.9
2026-02-23 22:27:50,63.8,95.8,14.8,4.2,36.5
2026-02-23 22:28:00,65.8,97.5,18,4.4,36
2026-02-23 22:28:10,65.1,99.9,16.4,3.9,37.1
2026-02-23 22:28:20,64.7,97.3,14.6,2,36.4
2026-02-23 22:28:30,66.1,96.9,17.6,2.2,37.4
2026-02-23 22:28:40,66,97.8,12.5,4.1,37
2026-02-23 22:28:50,63.9,97.4,14,2.5,36.3
2026-02-23 22:29:00,66.5,95.4,18.7,4.3,36.9
2026-02-23 22:29:10,64.4,95.8,14.9,4.1,36.4
2026-02-23 22:29:20,65.2,96.8,20,3.2,36.3
2026-02-23 22:29:30,64.1,96.5,20,3.2,37.2
2026-02-23 22:29:40,64.2,98.7,13.6,3.4,37.4
2026-02-23 22:29:50,65,96.9,12.6,2.3,36
2026-02-23 22:30:00,114,98.8,19.9,4.6,36.9
2026-02-23 22:30:10,63.8,98.3,14.7,3.8,36.6
2026-02-23 22:30:20,65.3,97.5,14.3,3.8,36
2026-02-23 22:30:30,64.7,98.2,15.9,2.7,36
2026-02-23 22:30:40,65.6,97.8,13.1,4.7,36.8
2026-02-23 22:30:50,63.3,97.5,14.8,2.2,36.8
2026-02-23 22:31:00,66.1,99.2,18.8,2.7,36.6
2026-02-23 22:31:10,64.1,96.2,14.9,3.4,36.7
2026-02-23 22:31:20,63.6,95.4,15.1,4.7,36.1
2026-02-23 22:31:30,63.8,98.2,19,4,37.3
2026-02-23 22:31:40,63.5,97.9,19.2,2.1,37.4
2026-02-23 22:31:50,66.2,96.5,15,2.8,37.2
2026-02-23 22:32:00,63.6,98.6,18.1,4.3,36.5
2026-02-23 22:32:10,64.9,99.2,13.9,4.8,36.3
2026-02-23 22:32:20,63.6,100,15.7,4.9,36.6
2026-02-23 22:32:30,65.6,97.8,17,2.6,36.3
2026-02-23 22:32:40,63.6,98,16.8,2.1,37.2
2026-02-23 22:32:50,66.4,97.3,15.3,4.6,37.1
2026-02-23 22:33:00,63,95.2,13,4.2,36.8
2026-02-23 22:33:10,64.9,95.1,12,2.9,37.2
2026-02-23 22:33:20,66.5,95.4,18.2,4.7,36.9
2026-02-23 22:33:30,64.3,98.9,18.9,4.5,37.4
2026-02-23 22:33:40,66.1,99.9,14.6,4.6,36.9
2026-02-23 22:33:50,66.5,98.5,19.6,4.9,36.2
2026-02-23 22:34:00,64.2,97.3,13,3.3,37.4
2026-02-23 22:34:10,64.4,99.1,12.1,3.8,36.9
2026-02-23 22:34:20,64.2,98.1,13,3.3,36.8
2026-02-23 22:34:30,63.4,99.4,17.7,4.7,36.7
2026-02-23 22:34:40,66.6,96.8,12.3,4.3,36.8
2026-02-23 22:34:50,64.2,95.5,18.8,2.7,36.1
2026-02-23 22:35:00,65.6,96.2,15,3.9,36.2
2026-02-23 22:35:10,65.6,96.7,17,3.1,36.5
2026-02-23 22:35:20,62.8,97,15.6,4.2,37.3
2026-02-23 22:35:30,64.8,96.1,13.1,3.3,36.3
2026-02-23 22:35:40,64.2,97.1,14.5,4.9,36.8
2026-02-23 22:35:50,64.3,99,14.1,2.8,36.1
2026-02-23 22:36:00,65.6,96.3,14.9,4.2,36.7
2026-02-23 22:36:10,63.2,97.7,15,2.1,37.2
2026-02-23 22:36:20,64.3,97.9,19.8,4.8,37.1
2026-02-23 22:36:30,66.3,96,15,4,36.1
2026-02-23 22:36:40,64.9,98.2,17.4,3.4,36.7
2026-02-23 22:36:50,62.6,99.9,13.1,4.9,36.9
2026-02-23 22:37:00,64.8,98.4,15.2,2.8,37.4
2026-02-23 22:37:10,66,98.1,15,3.8,36.1
2026-02-23 22:37:20,65.4,97.9,16.4,3.3,36.5
2026-02-23 22:37:30,66,97.4,19.4,4.2,37.2
2026-02-23 22:37:40,66.1,97,14.2,2.5,37.1
2026-02-23 22:37:50,64.2,97.4,18.9,3,36.7
2026-02-23 22:38:00,65,98.1,15.3,3.5,36.1
2026-02-23 22:38:10,64.3,97.8,18.3,4.3,36.4
2026-02-23 22:38:20,62.9,97.1,12.8,2.7,37.5
2026-02-23 22:38:30,66.1,95.3,18.9,3.6,36.5
2026-02-23 22:38:40,65.7,98,12.2,2.5,37.1
2026-02-23 22:38:50,64.1,95.9,18.9,3.6,36.3
2026-02-23 22:39:00,64.5,98.3,16.2,3.9,36.6
2026-02-23 22:39:10,64.9,98.1,19.1,2.5,36.6
2026-02-23 22:39:20,62.4,96.3,12,3.5,36.7
2026-02-23 22:39:30,65.9,95.6,17.5,4.2,36.5
2026-02-23 22:39:40,64,98.4,18.8,2.7,36.2
2026-02-23 22:39:50,63.2,96.6,13.2,2.4,36.8
2026-02-23 22:40:00,62.3,98,12.5,3,36.3
2026-02-23 22:40:10,65.5,96.2,16.4,5,36.5
2026-02-23 22:40:20,63.3,97.7,16.4,2.2,36.7
2026-02-23 22:40:30,63.5,96.8,19.8,2.3,37.2
2026-02-23 22:40:40,65.1,96.8,15.5,4.2,36.8
2026-02-23 22:40:50,63.5,97,13.8,3.6,37.1
2026-02-23 22:41:00,64,97.4,16.4,3.1,37.2
2026-02-23 22:41:10,62.3,97.8,15.5,3.8,37.2
2026-02-23 22:41:20,65.9,99.1,15.6,3.3,37.3
2026-02-23 22:41:30,63.6,97.7,19,2.7,36.1
2026-02-23 22:41:40,62.6,95.5,13.8,2.1,37.2
2026-02-23 22:41:50,65.8,95.4,12.5,2.1,36.8
2026-02-23 22:42:00,62.1,98.1,12.4,2.2,36.1
2026-02-23 22:42:10,63.3,96.5,12.8,4.5,37.2
2026-02-23 22:42:20,62,96.7,13.9,2,36
2026-02-23 22:42:30,63,99.4,19.2,4,36.9
2026-02-23 22:42:40,63.1,97.3,14.7,2.1,36.8
2026-02-23 22:42:50,65.5,99.6,13,4.7,37
2026-02-23 22:43:00,65.3,97.7,18.1,4.7,37
2026-02-23 22:43:10,63.5,95.1,17.3,3.2,36.4
2026-02-23 22:43:20,63.1,99.2,19.7,4.7,36
2026-02-23 22:43:30,65.1,96.2,14.3,2.7,37.3
2026-02-23 22:43:40,62.4,98.5,16.1,4.7,36.8
2026-02-23 22:43:50,63.7,97.8,19.7,3.3,36.5
2026-02-23 22:44:00,65.5,95.3,12.7,2.8,36.8
2026-02-23 22:44:10,64.4,96,12.3,2.3,37.5
2026-02-23 22:44:20,64.9,97.8,14.3,2.6,36.8
2026-02-23 22:44:30,64.6,99,18.2,2.7,36.9
2026-02-23 22:44:40,63,97,17.3,2.9,37
2026-02-23 22:44:50,65.2,95.6,19.9,2.1,36.9
2026-02-23 22:45:00,64,97.3,12.8,2.7,36.7
2026-02-23 22:45:10,64.2,96.6,15.2,2.9,36.7
2026-02-23 22:45:20,65.3,99.1,18.6,4.6,36.1
2026-02-23 22:45:30,65.6,99,19.5,3.6,37.2
2026-02-23 22:45:40,62.4,97.7,13.4,3.3,37.5
2026-02-23 22:45:50,65.6,97.7,15.4,3.3,37
2026-02-23 22:46:00,65.4,98.6,14,4,37.2
2026-02-23 22:46:10,64.8,95.6,15,3.7,36.4
2026-02-23 22:46:20,65.1,98.1,17.4,2.1,37.4
2026-02-23 22:46:30,65,95.1,12.9,4.2,36.4
2026-02-23 22:46:40,63.2,96.2,19.1,3.4,37.1
2026-02-23 22:46:50,63.8,98.3,15,4.6,36.7
2026-02-23 22:47:00,65.2,97.4,12.7,2.2,37.3
2026-02-23 22:47:10,64.7,96.3,15.4,4.5,36.9
2026-02-23 22:47:20,61.7,95.4,16.3,2.8,36.3
2026-02-23 22:47:30,64.1,99.7,13.8,4.5,36.9
2026-02-23 22:47:40,64.6,97.5,12.1,2.6,36.3
2026-02-23 22:47:50,63.6,99.3,18.5,3.8,36.6
2026-02-23 22:48:00,64.4,95,12.7,2.7,36.3
2026-02-23 22:48:10,61.6,99.1,19.7,3.6,36.4
2026-02-23 22:48:20,64.1,95.7,16.7,2.5,36.2
2026-02-23 22:48:30,61.7,97.8,12.9,3,36.4
2026-02-23 22:48:40,65.4,95.9,18.2,2.9,36.5
2026-02-23 22:48:50,64.8,99.6,13.6,3.2,36.4
2026-02-23 22:49:00,64.8,97.5,15.3,3.1,37
2026-02-23 22:49:10,62.7,96.7,15.8,4.1,37.2
2026-02-23 22:49:20,64.8,97.6,15.1,3.6,36.8
2026-02-23 22:49:30,65.3,99,14.3,4.6,36.2
2026-02-23 22:49:40,63.1,97.2,16.8,3,37.1
2026-02-23 22:49:50,62,96.3,12.6,2.6,36.9
2026-02-23 22:50:00,61.7,96.5,14,3.7,37.4
2026-02-23 22:50:10,63.6,96.7,12.3,4.3,36.1
2026-02-23 22:50:20,63.2,97.2,19.5,4,36.7
2026-02-23 22:50:30,64.4,95.9,16.7,3.9,36.4
2026-02-23 22:50:40,61.7,99.4,16.1,2.9,37.4
2026-02-23 22:50:50,62,98.8,12,2.8,36
2026-02-23 22:51:00,61.6,98.3,14.1,4.8,36.4
2026-02-23 22:51:10,61.6,98.9,13.3,4.2,36.4
2026-02-23 22:51:20,62.9,96.7,13.5,2.8,36.1
2026-02-23 22:51:30,64.7,95.1,14.6,4.4,36.5
2026-02-23 22:51:40,61.3,99.9,17.2,3.3,36.4
2026-02-23 22:51:50,62.3,99.4,18.5,3.4,36.3
2026-02-23 22:52:00,62.3,95.1,14.9,2.6,36.7
2026-02-23 22:52:10,64.3,97.3,19.6,4.1,36.3
2026-02-23 22:52:20,62.5,96.3,19.1,4.2,36.6
2026-02-23 22:52:30,62.7,98,13.1,2.3,37.1
2026-02-23 22:52:40,63,98.8,12.9,2.2,36.1
2026-02-23 22:52:50,65.1,99.8,14.7,4.3,36.9
2026-02-23 22:53:00,62.2,95.3,14.6,4.6,36.3
2026-02-23 22:53:10,61.7,96.3,18.8,4.1,37.3
2026-02-23 22:53:20,61.6,98.9,13,4.1,37.4
2026-02-23 22:53:30,61.3,96.1,19.6,3.7,36.8
2026-02-23 22:53:40,61.6,96.8,18.6,2,37.5
2026-02-23 22:53:50,63.5,95.2,19.5,4.7,36.4
2026-02-23 22:54:00,64.3,97.1,12.6,3.6,37.3
2026-02-23 22:54:10,62.7,95.7,18.9,4.2,37
2026-02-23 22:54:20,62,98.7,19.2,5,36.1
2026-02-23 22:54:30,62.7,99.8,13.9,4.5,36.5
2026-02-23 22:54:40,61,96,16.9,3.8,37
2026-02-23 22:54:50,63.1,96.4,18.4,4,36.4
2026-02-23 22:55:00,63.1,95.9,18.7,4.1,36.2
2026-02-23 22:55:10,64,97.1,19.6,3.6,37
2026-02-23 22:55:20,64.7,98,13.7,3.7,36.8
2026-02-23 22:55:30,61.9,99,12.5,2,36.5
2026-02-23 22:55:40,63.7,99.6,13.1,3.8,36.3
2026-02-23 22:55:50,62.8,97.1,14.5,2.1,36.7
2026-02-23 22:56:00,63.2,95.5,19.7,2.6,37.1
2026-02-23 22:56:10,64.4,99.9,14.6,3.1,37.3
2026-02-23 22:56:20,61,98.8,14.4,4.3,37.3
2026-02-23 22:56:30,61.2,99.6,15.3,3.4,37.2
2026-02-23 22:56:40,64.2,97.8,15.6,4.2,36.2
2026-02-23 22:56:50,61.8,99.5,15.1,4.5,36.1
2026-02-23 22:57:00,63.8,95.2,19.8,3.6,36.6
2026-02-23 22:57:10,61.7,97.9,19.2,3.5,36.7
2026-02-23 22:57:20,64.5,97.8,17.1,2.3,36.3
2026-02-23 22:57:30,62.8,98.3,13.9,2.4,37.4
2026-02-23 22:57:40,63.4,98.8,19.6,2.7,36.5
2026-02-23 22:57:50,63,95.3,17,2.8,37.4
2026-02-23 22:58:00,62.9,98.3,13.4,4.1,36.1
2026-02-23 22:58:10,60.9,97.9,14.9,4.2,37.4
2026-02-23 22:58:20,61.3,99.7,12.1,2.8,37
2026-02-23 22:58:30,62.9,95.7,18.6,2.3,37.1
2026-02-23 22:58:40,61.7,95.7,12.6,3.7,37.4
2026-02-23 22:58:50,61.1,96.2,19,4.5,36.4
2026-02-23 22:59:00,63.3,96.8,14.5,2.4,37.1
2026-02-23 22:59:10,64.1,95.8,19.3,4.5,36.3
2026-02-23 22:59:20,62.2,98.8,18.4,4.2,36.8
2026-02-23 22:59:30,61.5,96.3,13.5,5,36.1
2026-02-23 22:59:40,60.6,99,15.6,3.6,36.1
2026-02-23 22:59:50,63.1,99.6,19.7,2.8,37.2
2026-02-23 23:00:00,35.3,98.7,12.1,4.6,36.5
2026-02-23 23:00:10,64.3,99.6,19.2,2.5,37.2
2026-02-23 23:00:20,64.2,99,13.5,3.1,37
2026-02-23 23:00:30,62.7,97.1,13.8,2.3,37.3
2026-02-23 23:00:40,60.6,96.9,18.5,4.3,37.2
2026-02-23 23:00:50,62.7,97.2,12.4,2.4,36.2
2026-02-23 23:01:00,61.3,96,12.2,4.8,37.1
2026-02-23 23:01:10,64,99.3,15.8,4.7,36
2026-02-23 23:01:20,62.3,95.6,19,3.2,36.3
2026-02-23 23:01:30,62.6,98.3,16.4,4.3,37.3
2026-02-23 23:01:40,61.4,95.2,16.9,3,36.2
2026-02-23 23:01:50,62.6,96.3,15.4,3.5,37.3
2026-02-23 23:02:00,60.4,96.2,13.5,2.6,36.9
2026-02-23 23:02:10,63.3,98.3,12.6,2.8,36.6
2026-02-23 23:02:20,62.9,97,17.4,2.5,37.5
2026-02-23 23:02:30,61.3,98.5,17.9,2.8,36.4
2026-02-23 23:02:40,63.1,98.3,15,2.2,36.2
2026-02-23 23:02:50,62.1,97.7,18.4,3.6,36.5
2026-02-23 23:03:00,60.5,99.4,19.5,4.8,36.7
2026-02-23 23:03:10,63,98.2,18.4,3.7,36.5
2026-02-23 23:03:20,61.6,96.1,15.2,2.2,36.7
2026-02-23 23:03:30,60.2,97.4,17.9,3.7,37
2026-02-23 23:03:40,64,96.4,13.7,4.4,37.3
2026-02-23 23:03:50,60.7,95,19.7,4.3,36.7
2026-02-23 23:04:00,62.1,98.4,15.7,2.3,36.9
2026-02-23 23:04:10,64.1,99.7,18.2,2.7,37
2026-02-23 23:04:20,61.8,95.9,13.1,4,36.3
2026-02-23 23:04:30,63.8,97.9,12.6,4.9,36.3
2026-02-23 23:04:40,64,95.6,17.3,3.3,37.5
2026-02-23 23:04:50,63.9,95.7,14.7,5,37.1
2026-02-23 23:05:00,62.5,96.9,14.4,2.7,36
2026-02-23 23:05:10,62.7,96.8,17.5,3.7,36.1
2026-02-23 23:05:20,62.4,98.8,17.8,3.6,36.8
2026-02-23 23:05:30,63.7,95.8,14.3,3.7,36.9
2026-02-23 23:05:40,61.2,99.7,15.7,3.7,36.6
2026-02-23 23:05:50,61.1,98.6,19.4,4.2,36.6
2026-02-23 23:06:00,62,97.8,19.2,3.5,36.5
2026-02-23 23:06:10,62.4,97.1,16.1,2.5,36.6
2026-02-23 23:06:20,61.5,95.3,16.3,3,36.6
2026-02-23 23:06:30,60.6,97.3,14.4,2.8,37.5
2026-02-23 23:06:40,60.8,95.9,14.5,2.7,36.9
2026-02-23 23:06:50,63.5,97.1,14.3,3.3,36.9
2026-02-23 23:07:00,62.1,95.8,17.1,3.6,37.1
2026-02-23 23:07:10,63.2,96.9,14.1,4.1,37.4
2026-02-23 23:07:20,61.1,96.7,12.2,4.8,36.4
2026-02-23 23:07:30,63,97.6,14.5,2.1,36
2026-02-23 23:07:40,63,97,17.4,3.9,36.3
2026-02-23 23:07:50,63.2,96.4,12.9,4.3,37.1
2026-02-23 23:08:00,60.7,98.8,17.8,4.1,37.4
2026-02-23 23:08:10,63.7,99.2,17.3,4.2,36.8
2026-02-23 23:08:20,61.1,96.6,15.7,2.8,36.8
2026-02-23 23:08:30,60.8,95.1,16.4,4.6,36.1
2026-02-23 23:08:40,61.7,99,14.7,2,37.4
2026-02-23 23:08:50,59.9,99.2,12.9,4.9,36.3
2026-02-23 23:09:00,59.9,99.7,13.6,3.1,36.4
2026-02-23 23:09:10,61.4,97.8,14,2.8,36.1
2026-02-23 23:09:20,60,99.3,13.6,3.9,36.9
2026-02-23 23:09:30,63.2,100,15,2.5,36.4
2026-02-23 23:09:40,59.8,95.5,14.8,3.9,36.5
2026-02-23 23:09:50,60.3,95.6,16.9,3.9,36.4
2026-02-23 23:10:00,62.7,97.2,15.4,4.3,36
2026-02-23 23:10:10,62.8,96.5,17.7,2.9,36.4
2026-02-23 23:10:20,63.6,98.5,15.1,2.1,36.7
2026-02-23 23:10:30,61,96.7,12.5,3.8,36.7
2026-02-23 23:10:40,61.1,96.1,15.9,5,37.4
2026-02-23 23:10:50,63.4,99.4,14,2.6,36.1
2026-02-23 23:11:00,60.7,95.6,16.6,2.2,36.4
2026-02-23 23:11:10,61,97,15,3.3,36.2
2026-02-23 23:11:20,61.1,99.8,14.2,2.2,37
2026-02-23 23:11:30,61.9,97.3,17.3,4.2,36.8
2026-02-23 23:11:40,59.7,96.2,19.6,3.1,37
2026-02-23 23:11:50,62.6,96.2,18.1,2.7,36.5
2026-02-23 23:12:00,61.1,97,18.8,2,36.3
2026-02-23 23:12:10,60.6,99.9,14.6,4.8,36.8
2026-02-23 23:12:20,63.3,95.5,15.6,3.3,36
2026-02-23 23:12:30,61.1,95.2,18.6,2,36.7
